field,title,imagelink,text,keyword
2,Challenges and Constraints in Deformation-Based Medical Mesh Representation,CGI2023-MeshRepresentation.png,"Mesh representation of medical imaging isosurfaces are essential for medical analysis. These representations are typically obtained using mesh extraction methods to segment 3D volumes. However, the meshes extracted from such methods often suffer from undesired staircase artefacts. In this paper, we evaluate the existing mesh deformation methods that deform a template mesh to desired shapes. We evaluate two variants of such method on three datasets of varying topological complexity. Our objective is to demonstrate that, despite the mesh deformation methods having their limitations, they avoid the generation of staircase artefacts.",
1,A Transfer Function Optimization Using Visual Saliency For Region of Interest-based Direct Volume Rendering,CGI2023-SaliencyVis.png,"Achieving the ideal visualization of Regions of Interest (ROIs) in Direct Volume Rendering (DVR) is challenging due to the repetitive, trial-and-error nature of Transfer Function (TF) design. This work introduces a new TF optimization approach featuring a visual saliency-based objective metric, inspired by the human visual system, to guide the optimization process. The approach automatically adjusts opacity and color parameters based on user-defined target visual saliency for ROIs, effectively directing visual attention. Furthermore, it provides an intuitive image-based interaction for ROI selection, demonstrated to hold advantages over state-of-the-art methods using visibility-based metrics.","DVR, TF Optimization, Visual Saliency"
1,A Transfer Function Design Using A Knowledge Database based on Deep Image and Primitive Intensity Profile Features Retrieval,CGI2023-RetrievalVis.jpg,"This research addresses the time-consuming, manual optimization of Transfer Functions (TFs) in Direct Volume Rendering (DVR), which are critical for accurate visualization of structures of interest (SOIs). The proposed solution is a novel Content-Based Retrieval (CBR) system that automatically navigates a knowledge database containing image volumes with SOI labels, eliminating the need for manual TF navigation or fine-tuning. The CBR approach introduces a new volumetric image feature that combines local intensity profiles and regional spatial semantics, using a two-stage scheme to ensure complementary feature use and significantly improve SOI retrieval performance.","DVR, TF, Content-based Retrieval"
3,A Systematic Review: Virtual-reality-based Techniques for Human Exercises and Health Improvement,frontiers2023-VRreview.png,"Virtual Reality (VR) has emerged as a promising tool for rehabilitation, offering potential to enhance motor and cognitive function through brain plasticity. This systematic review thoroughly examines the application of VR-based training for the prevention and control of various childhood and adulthood illnesses. The focus areas include ophthalmological disorders (Myopia, Amblyopia, AMD) where VR allows non-occlusive training, and major neurological disorders (Alzheimer, Multiple Sclerosis) where it supports cognitive and motor restoration. The review highlights the fundamentals of VR technologies in clinical research and discusses current challenges and future prospects in healthcare training.","VR, Rehabilitation, Systematic Review"
2,SThy-Net: A Feature Fusion Enhanced Dense-Branched Modules Network for Small Thyroid Nodule Classification from Ultrasound Image,CGI2023-ThyroidClassification.jpg,"This study addresses the challenge of classifying small thyroid nodules with high-risk stratification, a prevalent but under-focused area in ultrasound (US) diagnosis. The core contribution is the Small Thyroid Nodule Classification Network (SThy-Net), designed to classify benign and malignant small nodules, specifically Papillary Thyroid Microcarcinoma (PTMC). SThy-Net incorporates a dense-branched module and a Gaussian-enhanced feature fusion module to improve recognition of these small targets. Achieving high accuracy of 87.4%, the network demonstrates potential as an affordable and accurate diagnostic tool for radiologists in clinical practice.","Thyroid Nodule Classification, Ultrasound"
2,Abdominal Aortic Thrombus Segmentation in Postoperative Computed Tomography Angiography Images Using Bi-Directional Convolutional Long Short-TermMemory Architecture,Sensors2023-AAASeg.jpg,"Accurate segmentation of the thrombus region of interest (ROI) in postoperative Abdominal Aortic Aneurysm (AAA) CTA images is essential for clinical assessment. Current 2D CNN methods lack the ability to use volumetric coherence from adjacent images, hindering performance. This study proposes a novel thrombus ROI segmentation method utilizing a Bi-directional Convolutional Long Short-Term Memory (Bi-CLSTM) network. The Bi-CLSTM architecture learns coherence between sequential CTA images, enabling robust feature learning even amidst postoperative artifacts and noise. Evaluated on a large-scale dataset, the Bi-CLSTM method demonstrated superior segmentation performance, achieving the highest scores across evaluation metrics.","Thrombus Segmentation, LSTM"
2,Automatic Detection and Segmentation of Thrombi in Abdominal Aortic Aneurysms Using a Mask Region-Based Convolutional Neural Network with Optimized Loss Functions,Sensors2022-AAASeg.png,"Accurate detection and segmentation of thrombi are vital for monitoring the progression of Abdominal Aortic Aneurysms (AAAs). This study introduces a fully automated method for the entire detection and segmentation process, building upon the Mask Region-based Convolutional Neural Network (Mask R-CNN) framework. The network incorporates optimized loss functions: CIoU and smooth L1 loss for accurate detection, and a modified focal loss for improved segmentation. Evaluated on a clinical CTA dataset, the proposed method achieved superior performance, demonstrating the highest F1 score for thrombus detection (0.9197) compared to multiple state-of-the-art methods.","Thrombus Detection, Mask R-CNN"
2,Deep learning-based binocular system for automated diabetic retinopathy grading with prior clinical knowledge integration,TVCJ2024-DiabeticGrading.png,"This paper presents the Deep DR (2DR) system, a deep learning approach for the automatic, five-stage classification of Diabetic Retinopathy (DR) from color retinal fundus images, mitigating the labor-intensive nature of traditional diagnosis. The 2DR system is inspired by clinical practice, featuring a binocular network that leverages correlation and differences in DR severity between the patient's two eyes. It incorporates prior knowledge by extracting features from the optic disk and macular regions alongside global features. Achieving high accuracies of 87.3% and 86.5% on private and public datasets, this method outperforms state-of-the-art techniques.","Diabetic Retinopathy, Fundus Image Classification"
2,Experimental Protocol Designed to Employ Nd YAG Laser Surgery for Anterior Chamber Glaucoma Detection via UBM,IET2022-NdYaG.png,"Evaluation of the Anterior Chamber (AC) is crucial for assessing the risk of Angle Closure Glaucoma, a condition leading to optic nerve damage and blindness. This study designs an experimental protocol for detailed disease analysis using Ultrasound Biomicroscopy (UBM), which offers superior evaluation of deep optical structures compared to conventional methods. Analysis was conducted on 600 AC images from 60 subjects, focusing on AC parameters in five directions. The findings indicate that the anterior chamber angle is wider on the downside than the upside, providing data to guide necessary laser surgery for widening the angle depth and eliminating pupil block.","Angle Closure Glaucoma, Ultrasound Biomicroscopy"
1,Mixed reality hologram slicer (mxdR-HS): a marker-less tangible user interface for interactive holographic volume visualization,arvix2022-TUI.png,"This study addresses the need for an effective user interface to explore volumetric medical imaging data visualized as holograms in Mixed Reality Head-Mounted Displays (mxdR-HMDs). The proposed solution is the mxdR Hologram Slicer (mxdR-HS), a Tangible User Interface (TUI) that uses a planar object (PO) for tactile interaction. The mxdR-HS features a novel real-time ad-hoc marker-less PO tracking method designed to maintain low computational latency while ensuring practical tracking accuracy on resource-limited commercial mxdR-HMDs. The system demonstrated superior computational latency and is suggested as a visual guide for complex medical data exploration.","MR, Tangible User Interface"
3,Fused Feature Signatures to Probe Tumour Radiogenomics Relationships,SciRep2022-radiogenomics.png,"This study focuses on improving Radiogenomics Relationships (RRs) by addressing the limitations of relying on single image feature extraction techniques (ETs). The core contribution is the development of a Fused Feature Signature (FFSig), which systematically combines complementary information from both handcrafted and deep ETs. Evaluated on two non-small cell lung cancer (NSCLC) datasets, the FFSig demonstrated superior capability in encoding complex tumor characteristics. The results show the FFSig identifies significantly more RRs with genes related to important biological functions like tumorigenesis, suggesting its potential to assist future cancer diagnosis and treatment.",Radiogenomics Relationships
3,An Integrated Review: Virtual Reality Simulation for Disaster Preparedness Training in Hospitals,JMIR2022-IntegrativeReview.png,"This integrated review examines the effectiveness and practical usefulness of Virtual Reality Simulation (VRS) as an alternative to expensive and logistically challenging live drills for hospital disaster preparedness training. Analyzing 12 selected studies, the review identified three major capabilities of VRS: realistic clinical environment simulation, development of learning effects (confidence and knowledge acquisition), and cost-effective implementation. The findings suggest that VRS is a competitive and cost-effective adjunct to existing methods, with advancements in VR technology expected to enable its wider adoption for sophisticated and challenging clinical disaster scenarios.","VR, Healthcare Training"
3,A Preliminary Work: Mixed Reality-integrated Computer-aided Surgical Navigation System for Paranasal Sinus Surgery using Microsoft HoloLens 2,CGI2021-MR.png,"To meet the high safety and minimal invasion demands of Paranasal Sinus Surgery, this study explores the integration of Mixed Reality Head-Mounted Display (MR-HMD) technology into standard Computer-Aided Surgical Navigation (CSN). The developed MR-CSN system is an alpha version of a commercial CSN application, built using 3D Slicer, and augmented with a scene sharing extension module. This system networks the MR-HMD, enabling users to receive real-time, augmented navigation guidance directly within their intraoperative field of view. The feasibility of the MR-CSN system was successfully demonstrated through a paranasal sinus surgical simulation using a phantom model.","Surgical Navigation, MR"
1,Automatic transfer function design for medical direct volume rendering via clustering analysis,JMIHI-2021.jpg,"This study addresses the non-intuitive, trial-and-error nature of Transfer Function (TF) design in medical Direct Volume Rendering (DVR) by proposing a two-step automatic TF design scheme. The first step introduces a novel Clustering-based Ray Analysis (CRA) method to automatically identify Features of Interest (FOIs) along a user-defined viewing ray, utilizing regional and contextual information for enhanced identification. Second, the CRA approach automatically generates the TF by adopting a visibility-driven optimization algorithm, demonstrating its effectiveness and utility over existing local intensity profile-based ray analysis techniques.","DVR, TF, Clustering-based Ray Analysis"
2,Optic Disc and Cup Segmentation Through Fuzzy Broad Learning System for Glaucoma Screening,TII2020-Seg.png,"Accurate segmentation of the Optic Disk (OD) and Optic Cup (OC) is critical for calculating the Cup-to-Disk Ratio (CDR), a key metric for Glaucoma screening. This study introduces a novel, time-efficient technique for OD and OC segmentation based on the Fuzzy Broad Learning System (FBLS). The method separately processes red and green channel images and inputs them into two dedicated FBLS networks for robust segmentation, followed by CDR calculation. Experimental results demonstrate that this FBLS-based technique provides superior performance compared to many existing time-consuming deep learning methods.",Glaucoma Screening
2,"SPST-CNN: spatial pyramid based searching and tagging of liver's intraoperative live views via CNN for minimal invasive surgery	",JBI2021-Seg.png,"This research addresses the challenge of localizing subsurface anatomy during Laparoscopic Liver Surgery, where minimal invasive visibility hinders the surgeon's ability to search and tag features. The solution is the Spatial Pyramid Based Searching and Tagging Convolutional Neural Network (SPST-CNN), designed to provide pinpoint searching and tagging in intraoperative liver views. SPST-CNN leverages a hybrid combination of an image pyramid at the input stage and a spatial pyramid pooling layer to achieve scale-invariant feature representation for variable-scaled live views. The method achieved superior performance over four state-of-the-art approaches, with a maximum mean Average Precision (mAP) of 85.9%.","Laparoscopic Liver Surgery, CNN"
2,VoxRec: Hybrid Convolutional Neural Network for Active 3D Object Recognition,ACCESS2020-Seg.png,"This paper presents an innovative approach for automatic 3D model recognition that addresses the drawbacks of conventional Deep Neural Network methods, such as extensive pre-processing and time-consuming training. The core technique involves encoding 3D point clouds, surface normal, and surface curvature and merging them to create a highly effective input for training via a deep Convolutional Neural Network (CNN) on the ShapeNetCore dataset. A similar method is also proposed for 3D segmentation using Octree coding. The proposed approach demonstrates superior effectiveness compared to several state-of-the-art methods in terms of recognition accuracy.","3D Model Recognition, CNN"
2,OFF-eNET: An Optimally Fused Fully End-to-End Network for Automatic Dense Volumetric 3D Intracranial Blood Vessels Segmentation,TIP2020-Seg.png,"Accurate Intracranial Blood Vessel Segmentation from CTA volumes is a critical biomarker for cerebrovascular disease diagnosis and treatment planning. This study proposes the Optimally Fused Fully end-to-end Network (OFF-eNET) for the automatic segmentation of 3D vascular structures, specifically addressing challenges in extracting vessels close to the skull and precisely marking thin vessel locations. OFF-eNET uses three computationally efficient modules: up-skip connections and dilated convolution for spatial detail, residual mapping and inception modules for convergence, and a cascaded training strategy for optimizing segmentation stages. Evaluated on 70 CTA volumes, OFF-eNET achieved a 90.75% performance and outperformed state-of-the-art counterparts.",Vessel Segmentation
3,A web-based multidisciplinary team meeting visualisation system,IJCARS2020-MDT.png,"This study addresses the need for personalized data viewing in Multidisciplinary Team Meetings (MDTs), where discussions often center on medical images displayed only on a common screen. The solution is the Web-based MDT Visualization System (WMDT-VS), leveraging state-of-the-art web technologies. WMDT-VS supports individual participants viewing and navigating medical images on their personal devices (e.g., smartphones, tablets) and allows for the customization of visualizations specific to each clinical perspective. The system provides a more comprehensive visualization experience by supporting 2D/3D visualization, multi-modality data, and the sharing of customized views.",MDT Visualization
1,A direct volume rendering visualization approach for serial PET-CT scans that preserves anatomical consistency,IJCARS2020-TemporalVis.png,"This study developed an interactive 3D Direct Volume Rendering (DVR) visualization solution for interpreting complex, serial multi-modality PET-CT imaging datasets. The approach utilizes serial transfer function (TF) optimization to automatically and consistently depict regions of interest (ROIs) across multiple scans. Key integrations include a serial segmentation algorithm for interactive ROI identification and tracking, and parallel GPU implementation for interactive visualization. This solution enables the rapid and automated identification of changes in relevant ROIs over multiple scans, suggesting its utility as an adjunct to conventional 2D viewing software.","DVR, TF Optimization"
1,Feature of Interest based Direct Volume Rendering Using Contextual Saliency-driven Ray Profile Analysis,CGF2018-Vis.png,"This research addresses the challenge of clearly depicting Features of Interest (FOIs) in Direct Volume Rendering (DVR), a process often hampered by the repetitive trial-and-error nature of Transfer Function (TF) design. The proposed method utilizes contextual saliency information to group voxels along a viewing ray into distinct FOIs. This biologically inspired attribute aids in accurate FOI identification and is simultaneously used to automatically define the optimal optical parameters for visual emphasis in DVR. The method demonstrates superior capabilities compared to current state-of-the-art ray profile analysis techniques across a variety of volumetric datasets.","DVR, TF, Contextual Saliency"
1,Occlusion and Slice-Based Volume Rendering Augmentation for PET-CT,JBHI2017-Vis.png,"This study introduces a novel visualization algorithm for Dual-modality PET-CT imaging, specifically addressing the occlusion of PET Slices of Interest (SOI) caused by the contextual volume rendering (DVR) of the CT counterpart. The approach automatically calculates an augmentation depth parameter by analyzing occlusion information from CT voxels in front of the PET SOI. This parameter is used to generate an opacity weight function that controls the visibility of the CT contextual information, thereby minimizing its obtrusiveness. This method improves upon existing slice-based and previous approaches, as demonstrated in preliminary clinical evaluation using non-small cell lung cancer patient studies.","PET-CT, DVR"
3,Remote monitoring systems for chronic patients on home hemodialysis: field test of a copresence-enhanced design,JMIR2017-Tele.png,"This study addresses patient isolation and anxiety during long-term Home Hemodialysis (HHD) by designing an HHD system to enhance the perceived copresence with healthcare professionals. The system implements features such as digital logbooks, emotion sharing, and feedback tools to maintain remote connection. A field trial involving 74 patients demonstrated that the copresence design significantly improved patients' feelings of being connected and enhanced self-care compliance. Healthcare professionals also reported assuredness regarding patient status and improved productivity, positioning this design as a valuable complement for future telehealth systems.","Home Hemodialysis, Copresence Enhancement"
1,Efficient visibility-driven medical image visualisation via adaptive binned visibility histogram,CMIG2016-Vis.png,"This study addresses the high computational cost of constructing Visibility Histograms (VHs), which are crucial for analyzing occlusion patterns in medical Volume Rendering. The core contribution is the development of an Efficient Adaptive Binned Visibility Histogram (AB-VH) that uses a reduced number of histogram bins. AB-VH achieves efficiency by employing a cluster analysis algorithm to adaptively group voxels by intensity similarity and by exploiting parallel GPU computation. The AB-VH significantly improved the computational efficiency of VH construction and subsequent volume manipulations without major visual or numerical degradation compared to its full-bin counterpart.","Visibility Histogram, AB-VH"
1,Visibility-driven PET-CT visualisation with region of interest (ROI) segmentation,TVCJ2013-Vis.png,"This study introduces a new ROI-based Multi-modality Visibility-Driven Transfer Function for efficient visualization of co-aligned PET-CT volumes. Current methods fail to exploit the spatial correlation between the volumes, complicating Transfer Function (TF) manipulation. The m2-vtf addresses this by presenting a novel 'visibility' metric that quantifies the visibility of PET Regions of Interest (ROIs) as they are affected by TF changes in the counterpart CT volume. This metric is used to automate the CT's TF, and an intuitive ROI selection tool based on automated PET segmentation is provided, achieving efficient and interactive visualization via GPU implementation.","PET-CT, Visibility-Driven TF"
1,An intuitive Sketch-based Transfer Function Design via Contextual and Regional Labelling,CGI2016-Vis.png,"An intuitive sketch-based interaction technique is proposed to streamline Transfer Function (TF) design in Direct Volume Rendering (DVR), moving past the non-intuitive, trial-and-error limitations of conventional methods. The technique allows users to identify Features of Interest (FOIs) by sketching directly on 2D image slices reconstructed from a viewing ray, aided by automatically derived contextual and regional labels. Based on the sketch, the system automatically generates an intensity-based 1D TF, assigning opacity and color values based on the FOI's distance from the viewpoint. This ensures all FOIs along the ray are visible simultaneously.","TF, Sketch-based Interaction, DVR"
2,A Locally Constrained Random Walk Approach for Airway Segmentation of Low-Contrast Computed Tomography (CT) Image,DICTA2015-Seg.png,"Accurate airway segmentation is critical for interpreting thorax malignancy on low-contrast CT images acquired during routine PET-CT scans, a task where existing high-resolution CT algorithms fail. A new fully automated airway segmentation algorithm is presented, optimized to tolerate these low-contrast image characteristics. The algorithm achieves robust segmentation by introducing a multi-atlas initialization for seed derivation and a modified knowledge-based random walk technique that manipulates edge path weights within a locally constrained search space. Evaluated on 20 clinical low-contrast CT studies, the proposed algorithm demonstrated superior segmentation performance against comparative state-of-the-art methods.","Airway Segmentation, Knowledge-based Random Walk"
1,Exploration of virtual and augmented reality for visual analytics and 3D volume rendering of functional magnetic resonance imaging (fMRI) data ,BDVA2015-Vis.png,"Statistical analysis of fMRI provides critical scientific and clinical insights, but current Interactive Visual Analytics using 2D displays struggle with challenges like visual clutter and preserving anatomical context. This ongoing research explores the potential of Virtual Reality (VR) and Augmented Reality (AR), coupled with gesture-based inputs, to create an immersive environment for fMRI data visualization. The authors suggest that VR/AR can overcome existing limitations by naturally reducing visual clutter and allowing users to navigate data abstractions while maintaining focus on the visualizations. Exploratory research in creating immersive VR environments for fMRI data is presented.","fMRI Visualization, VR/AR"
2,Automated saliency-based lesion segmentation in dermoscopic images,EMBC2015-Seg.png,"Accurate segmentation of skin lesions in dermoscopic images is essential for automated melanoma diagnosis via Computer-Aided Diagnosis (CAD), yet existing methods struggle with oversegmentation and low lesion-to-skin contrast. A new automated Saliency-based Skin Lesion Segmentation (SSLS) method is proposed, designed specifically to exploit the inherent focal central region and subtle contrast properties of dermoscopic images. Evaluated on a public dataset, SSLS demonstrated superior accuracy and robustness over established segmentation techniques, particularly in handling challenging, low-contrast cases.",Skin Lesion Segmentation
3,A Web-Based Medical Multimedia Visualisation Interface for Personal Health Records,CBMS2013-Vis.png,"The limited adoption of online Personal Health Record (PHR) systems is often due to the lack of intuitive visualization for complex medical data. To address this, a novel web-based PHR visualization system, the 3D Medical Graphical Avatar (MGA), is introduced. MGA is designed to explore the delivery of diverse medical data, including multi-dimensional images, videos, and text, by embedding spatial annotations (ROIs) and time-based video annotations derived from the data. Leveraging HTML5 and WebGL, the proof-of-concept prototype allows for interactive navigation of the MGA on both mobile and desktop consumer devices.","Personal Health Record, 3D Medical Graphical Avatar"
2,Model reconstruction of real-world 3D objects: An application with Microsoft HoloLens,ModellingBook2020-Vis.png,"Digital reconstruction of 3D real-world objects is fundamental for Virtual Reality (VR) and Mixed Reality (MR) applications, facilitated by advances in portable RGB-Depth sensors. This research focuses on utilizing RGB-Depth sensors embedded in off-the-shelf MR devices, specifically the Microsoft HoloLens, for object model reconstruction, a capability lacking in the device's original design. The solution proposes an automated pipeline using a ray-casting based texture mapping approach applied to the acquired object mesh geometry. Preliminary results demonstrate that this approach achieves acceptable reconstruction quality with efficient computation for objects of various sizes and shapes.","3D Object Reconstruction, MR"
